symbol,side,entry,exit,pnl,reason,time
FET/USDT,LONG,2.9627499999999998,3.062824511505651,10.198730476353298,BE_STOP,2024-03-29 15:30:00
SUI/USDT,SHORT,1.726,1.685934293796442,56.198641607697105,TP1_80%,2024-04-04 20:15:00
SUI/USDT,SHORT,1.726,1.6091416902396227,10.89679917834403,TP2_5%,2024-04-05 02:45:00
SUI/USDT,SHORT,1.726,1.685934293796442,10.0387063445457,BE_STOP,2024-04-08 08:30:00
NEAR/USDT,LONG,7.406499999999999,7.173400457069632,-89.75753844697996,STOP_LOSS,2024-04-10 00:30:00
STX/USDT,SHORT,2.6576500000000003,2.7239022903744674,-86.21079772707911,STOP_LOSS,2024-04-13 05:00:00
SOL/USDT,SHORT,133.246,136.73236962676495,-65.01141706580937,STOP_LOSS,2024-04-17 18:15:00
ADA/USDT,SHORT,0.45655,0.44865962980632285,49.069899096276835,TP1_80%,2024-04-17 21:00:00
ADA/USDT,SHORT,0.45655,0.45655,-1.7639643677703556,BE_STOP,2024-04-18 14:15:00
LTC/USDT,SHORT,84.935,83.3825787361938,51.03873412553346,TP1_80%,2024-04-25 10:30:00
LTC/USDT,SHORT,84.935,84.935,-1.6442856399409072,BE_STOP,2024-04-25 21:15:00
LTC/USDT,SHORT,84.935,83.50354947640076,52.18293004562719,TP1_80%,2024-04-26 01:15:00
LTC/USDT,SHORT,84.935,84.935,-1.7545982358969627,BE_STOP,2024-04-26 02:15:00
NEAR/USDT,LONG,7.111000000000001,7.290609224049072,56.18116010454541,TP1_80%,2024-04-28 01:00:00
NEAR/USDT,LONG,7.111000000000001,7.111000000000001,-1.3300072545663488,BE_STOP,2024-04-28 22:30:00
TIA/USDT,SHORT,9.6064,9.384437863028662,57.77888091443668,TP1_80%,2024-04-30 20:30:00
TIA/USDT,SHORT,9.6064,9.6064,-1.367304254480479,BE_STOP,2024-04-30 22:30:00
BCH/USDT,SHORT,438.305,430.67342579897854,57.90983352805654,TP1_80%,2024-05-01 00:45:00
BCH/USDT,SHORT,438.305,416.04624191368737,11.43225417135395,TP2_5%,2024-05-01 07:00:00
BCH/USDT,SHORT,438.305,430.67342579897854,10.506220263733033,BE_STOP,2024-05-02 15:15:00
OP/USDT,LONG,2.8032,2.8491708111829936,60.00500014377401,TP1_80%,2024-05-03 15:45:00
OP/USDT,LONG,2.8032,2.9372815326170647,11.885788975815974,TP2_5%,2024-05-04 07:45:00
OP/USDT,LONG,2.8032,2.8491708111829936,10.938042208738736,BE_STOP,2024-05-05 04:45:00
FET/USDT,LONG,2.3259,2.3722029834129783,64.33328198422743,TP1_80%,2024-05-06 18:30:00
FET/USDT,LONG,2.3259,2.460950368287854,12.566609172633871,TP2_5%,2024-05-07 08:30:00
NEAR/USDT,LONG,7.274,7.418297800366867,66.52673513075293,TP1_80%,2024-05-07 08:30:00
NEAR/USDT,LONG,7.274,7.694868584403361,13.021815407721816,TP2_5%,2024-05-07 12:45:00
FET/USDT,LONG,2.3259,2.3722029834129783,11.927620875643855,BE_STOP,2024-05-07 14:30:00
NEAR/USDT,LONG,7.274,7.418297800366867,12.403754890532653,BE_STOP,2024-05-07 14:30:00
AVAX/USDT,SHORT,36.939499999999995,36.12293153688667,89.39064169645256,TP1_80%,2024-05-07 18:30:00
AVAX/USDT,SHORT,36.939499999999995,34.55784198258611,17.331444860698323,TP2_5%,2024-05-08 06:15:00
