symbol,side,entry,exit,pnl,reason,time
BNB/USDT,LONG,478.84,466.46864729350744,-158.02316531754266,STOP_LOSS,2024-03-08 16:00:00
BNB/USDT,LONG,464.01,469.26952031381063,19.54024969143668,TP1_10%,2024-03-08 16:15:00
BNB/USDT,LONG,464.01,464.53595203138104,-4.735378738767234,BE_STOP,2024-03-08 16:15:00
BTC/USDT,LONG,69299.3,72047.69976543047,23.692706100324088,TP1_10%,2024-03-13 01:30:00
SOL/USDT,LONG,144.0,155.96617640132706,48.300484074912205,TP1_10%,2024-03-13 15:00:00
AVAX/USDT,LONG,53.122,55.95045549044674,35.91243536453576,TP1_10%,2024-03-14 00:30:00
AVAX/USDT,LONG,53.122,59.344602078982845,160.68689344589683,TP2_20%,2024-03-14 02:30:00
AVAX/USDT,LONG,53.122,55.95045549044674,251.3870475517503,BE_STOP,2024-03-14 04:45:00
SOL/USDT,LONG,144.0,170.32558808291958,214.56232022179546,TP2_20%,2024-03-14 06:45:00
AVAX/USDT,LONG,55.558,53.65143394079664,-110.46861961688485,STOP_LOSS,2024-03-14 15:15:00
BTC/USDT,LONG,69299.3,69574.13997654305,10.978248857147307,BE_STOP,2024-03-14 18:45:00
XRP/USDT,SHORT,0.6731,0.6536367794571096,24.97800052540389,TP1_10%,2024-03-15 02:30:00
XRP/USDT,SHORT,0.6731,0.630280914805641,112.95106608014657,TP2_20%,2024-03-15 03:15:00
BNB/USDT,LONG,584.8,562.2611307084844,-163.37205834405376,STOP_LOSS,2024-03-15 08:45:00
XRP/USDT,SHORT,0.6731,0.5952471178284382,725.4178510661292,TP3_FULL,2024-03-15 09:00:00
SOL/USDT,LONG,144.0,191.8647056053083,1369.0197541501823,TP3_FULL,2024-03-16 05:30:00
AVAX/USDT,LONG,57.371,56.001734559172725,-199.3325658442392,STOP_LOSS,2024-03-16 17:00:00
BNB/USDT,LONG,597.68,579.3539294707759,-196.88327141029504,STOP_LOSS,2024-03-16 18:45:00
SOL/USDT,LONG,200.885,194.96198582324004,-192.24325359711295,STOP_LOSS,2024-03-19 00:30:00
AVAX/USDT,LONG,61.14,59.069207021381416,-126.94835589728979,STOP_LOSS,2024-03-19 01:00:00
BNB/USDT,LONG,572.43,558.8600945907018,-188.0503074247986,STOP_LOSS,2024-03-22 13:00:00
XRP/USDT,LONG,0.6221,0.6117105932445457,-192.45188491205047,STOP_LOSS,2024-03-22 13:30:00
XRP/USDT,LONG,0.6034,0.6015898000000001,-100.84312746861038,STOP_LOSS,2024-03-22 14:15:00
XRP/USDT,LONG,0.6027,0.6008919,-99.95613148802182,STOP_LOSS,2024-03-22 14:30:00
XRP/USDT,LONG,0.6091,0.6259149286246264,26.61047720238175,TP1_10%,2024-03-23 13:45:00
XRP/USDT,LONG,0.6091,0.6460928429741779,119.33025799097085,TP2_20%,2024-03-25 15:00:00
SOL/USDT,LONG,193.088,190.2499226255627,-187.33299089907814,STOP_LOSS,2024-03-26 14:30:00
AVAX/USDT,LONG,56.392,55.74831920718775,-128.01540393260584,STOP_LOSS,2024-03-26 16:15:00
XRP/USDT,LONG,0.6091,0.6259149286246264,179.13283673328948,BE_STOP,2024-03-26 16:30:00
ETH/USDT,SHORT,3653.74,3622.1448699800267,16.35472345269308,TP1_10%,2024-03-27 13:30:00
ETH/USDT,SHORT,3653.74,3650.5804869980025,-10.849827343502346,BE_STOP,2024-03-27 13:30:00
BTC/USDT,LONG,70848.0,70417.60946662881,-140.5654952426259,STOP_LOSS,2024-03-29 03:15:00
AVAX/USDT,LONG,53.719,52.655792424651175,-122.97262211461847,STOP_LOSS,2024-03-29 15:30:00
BTC/USDT,LONG,70632.1,70242.24902921429,-138.02238818974584,STOP_LOSS,2024-04-01 05:30:00
ETH/USDT,SHORT,3596.08,3413.406137890942,39.91245010807204,TP1_10%,2024-04-01 17:30:00
AVAX/USDT,SHORT,47.899,46.475525241452694,39.04132647211798,TP1_10%,2024-04-04 20:00:00
AVAX/USDT,SHORT,47.899,44.767355531195925,176.13521290040836,TP2_20%,2024-04-05 05:15:00
AVAX/USDT,SHORT,47.899,46.475525241452694,269.4318631577848,BE_STOP,2024-04-06 03:45:00
XRP/USDT,SHORT,0.5879,0.5953451577433744,-188.20839478857513,STOP_LOSS,2024-04-06 15:00:00
ETH/USDT,SHORT,3596.08,3577.812613789094,1.374099182776522,BE_STOP,2024-04-08 08:15:00
ETH/USDT,LONG,3600.88,3614.45434019675,53.09607224243784,STOP_LOSS,2024-04-09 08:15:00
BTC/USDT,LONG,69928.5,69132.83942727056,-125.87601979316912,STOP_LOSS,2024-04-09 14:30:00
BTC/USDT,LONG,69216.0,69008.352,-98.00891768555987,STOP_LOSS,2024-04-09 14:45:00
BTC/USDT,LONG,69416.0,69079.43087841789,-137.9522684368759,STOP_LOSS,2024-04-09 15:00:00
BTC/USDT,LONG,68923.5,68716.7295,-95.93345028466341,STOP_LOSS,2024-04-09 16:45:00
XRP/USDT,LONG,0.6166,0.6053339819178944,-121.8579273068531,STOP_LOSS,2024-04-10 02:30:00
AVAX/USDT,SHORT,47.497,47.67691884222496,-110.96524638866305,STOP_LOSS,2024-04-10 06:15:00
SOL/USDT,SHORT,176.556,169.2570721838864,25.999897042505626,TP1_10%,2024-04-10 10:15:00
SOL/USDT,SHORT,176.556,175.82610721838864,13.750344675850318,BE_STOP,2024-04-11 07:15:00
BNB/USDT,LONG,616.42,608.8893355073149,-88.70287381761045,STOP_LOSS,2024-04-12 13:30:00
BNB/USDT,LONG,609.38,607.55186,-46.30559760501951,STOP_LOSS,2024-04-12 13:45:00
BNB/USDT,LONG,611.89,608.518485827103,-72.39516162856756,STOP_LOSS,2024-04-12 14:45:00
