symbol,side,entry,exit,pnl,reason,time
NIGHT/USDT,LONG,0.062615,0.061339623561683765,-56.548520898147856,STOP_LOSS,2026-02-20 11:30:00
LYN/USDT,LONG,0.285535,0.27479070098623715,-78.10883812240755,STOP_LOSS,2026-02-20 17:00:00
LYN/USDT,LONG,0.278335,0.2878258545982834,26.20199943082132,TP1_33%,2026-02-21 04:45:00
LYN/USDT,LONG,0.278335,0.3060166592449933,80.42430330341391,TP2_33%,2026-02-21 07:15:00
ENSO/USDT,LONG,1.9014,1.9716314754506696,23.86681985518907,TP1_33%,2026-02-23 00:00:00
ENSO/USDT,LONG,1.9014,1.9014,-2.630255025219532,TRAILING_STOP,2026-02-23 01:00:00
LYN/USDT,LONG,0.278335,0.30705,82.98729621131021,TIME_STOP_48H,2026-02-23 04:30:00
ZRO/USDT,SHORT,1.6087500000000001,1.5664683080943556,30.48835535226921,TP1_33%,2026-02-23 13:45:00
ZRO/USDT,SHORT,1.6087500000000001,1.485428398608537,94.62895274818298,TP2_33%,2026-02-23 17:30:00
ZRO/USDT,SHORT,1.6087500000000001,1.5664683080943556,30.445112416164694,TRAILING_STOP,2026-02-25 01:15:00
ZRO/USDT,SHORT,1.5336,1.4783353350709432,28.841122622482814,TP1_33%,2026-02-25 11:00:00
ZRO/USDT,SHORT,1.5336,1.5336,-3.0757603021996607,TRAILING_STOP,2026-02-25 14:15:00
DOT/USDT,LONG,1.573,1.624556557998065,23.2940250804054,TP1_33%,2026-02-26 09:00:00
DOT/USDT,LONG,1.573,1.573,-2.7508515123651014,TRAILING_STOP,2026-02-26 11:30:00
TON/USDT,SHORT,1.30435,1.2733532628516044,23.16599134496765,TP1_33%,2026-02-26 11:45:00
TON/USDT,SHORT,1.30435,1.30435,-4.064702314807009,TRAILING_STOP,2026-02-26 18:30:00
TON/USDT,SHORT,1.30435,1.3037,-5.183849505708685,STAGNATION_EXIT,2026-02-27 06:30:00
SEI/USDT,SHORT,0.06614,0.06733883287607643,-70.06032806552308,STOP_LOSS,2026-02-28 20:30:00
TON/USDT,SHORT,1.30435,1.2742242224877685,22.250144400693635,TP1_33%,2026-03-01 00:15:00
TON/USDT,SHORT,1.30435,1.2164831489226582,69.32316801710611,TP2_33%,2026-03-01 16:45:00
1000PEPE/USDT,SHORT,0.0035448,0.0034515115409947473,29.79084940172973,TP1_33%,2026-03-02 02:00:00
1000PEPE/USDT,SHORT,0.0035448,0.0035351,2.0675191796289467,STAGNATION_EXIT,2026-03-02 14:45:00
TON/USDT,SHORT,1.30435,1.2365,52.624137034913815,TIME_STOP_48H,2026-03-02 22:30:00
XPL/USDT,LONG,0.10285,0.10603535965025837,37.962866946562755,TP1_33%,2026-03-03 10:15:00
XPL/USDT,LONG,0.10285,0.11214063231325358,116.96487659301407,TP2_33%,2026-03-03 12:00:00
KITE/USDT,SHORT,0.201345,0.20674131133129245,-98.95073672200654,STOP_LOSS,2026-03-03 14:15:00
KITE/USDT,SHORT,0.201345,0.20680654905606338,-112.31533489039212,STOP_LOSS,2026-03-03 14:30:00
XPL/USDT,LONG,0.10285,0.12143126462650718,236.04555425291608,TP3_FULL,2026-03-04 09:30:00
FLOW/USDT,SHORT,0.035055,0.034466248018415795,26.581652584736744,TP1_33%,2026-03-04 16:15:00
FLOW/USDT,SHORT,0.035055,0.035055,-6.471852655384721,TRAILING_STOP,2026-03-04 17:15:00
ICP/USDT,LONG,2.498,2.550645037108081,27.466490240381063,TP1_33%,2026-03-04 19:15:00
ICP/USDT,LONG,2.498,2.498,-5.212817822904955,TRAILING_STOP,2026-03-04 23:30:00
FLOW/USDT,SHORT,0.035055,0.03445119850393981,27.262618969386697,TP1_33%,2026-03-05 15:15:00
FLOW/USDT,SHORT,0.035055,0.035055,-6.811415534563889,TRAILING_STOP,2026-03-06 01:30:00
SIGN/USDT,LONG,0.04754,0.04977086700295081,36.91349932811129,TP1_33%,2026-03-07 05:15:00
SIGN/USDT,LONG,0.04754,0.04754,-2.9922466390747227,TRAILING_STOP,2026-03-07 05:30:00
BANANAS31/USDT,LONG,0.0068375,0.007130743505169351,29.934051754939457,TP1_33%,2026-03-07 17:15:00
BULLA/USDT,SHORT,0.025735,0.025010440104445825,37.18468222949344,TP1_33%,2026-03-07 21:30:00
