side,entry_price,exit_price,pnl,reason,score,time
SHORT,6.4185,6.295810687245702,7.690434151390033,TP1_33%,8.5,2025-10-24 13:30:00
SHORT,6.4185,6.255782261711713,21.049087814774104,BE_STOP,8.5,2025-10-24 14:15:00
SHORT,5.26,5.173946990152515,6.651673014048055,TP1_33%,8.5,2025-11-04 05:15:00
SHORT,5.26,5.142243167349807,18.874006302726222,BE_STOP,8.5,2025-11-04 05:30:00
SHORT,5.26,5.146755655385456,8.945955894647216,TP1_33%,8.5,2025-11-04 12:30:00
SHORT,5.26,5.13138096700806,20.774377770643582,BE_STOP,8.5,2025-11-04 14:00:00
SHORT,5.26,5.3585777867758315,-27.61365129280117,STOP_LOSS,9.0,2025-11-05 15:30:00
SHORT,5.2755,5.37147112443649,-26.317370144255058,STOP_LOSS,10.0,2025-11-07 03:00:00
LONG,6.718999999999999,6.925313203363698,11.38054194221718,TP1_33%,8.5,2025-11-10 15:00:00
LONG,6.718999999999999,7.053931029435804,38.09663439031718,BE_STOP,8.5,2025-11-10 19:00:00
SHORT,7.526,7.324624654875102,10.853793770114798,TP1_33%,9.5,2025-11-15 08:30:00
SHORT,7.526,7.324624654875102,22.036490381748226,BE_STOP,9.5,2025-11-15 13:45:00
SHORT,6.5835,6.430124840288189,9.460753892631027,TP1_33%,8.5,2025-11-21 19:00:00
SHORT,6.5835,6.352306756779994,29.482793218409036,BE_STOP,8.5,2025-11-21 20:15:00
SHORT,6.397,6.284781874802202,7.832198291279366,TP1_33%,8.5,2025-11-23 04:30:00
SHORT,6.397,6.232516516715176,23.851416568854052,BE_STOP,8.5,2025-11-23 07:15:00
SHORT,5.7669999999999995,5.6800819156141475,6.793287127445204,TP1_33%,9.5,2025-12-08 07:00:00
SHORT,5.7669999999999995,5.6800819156141475,13.792431440570567,BE_STOP,9.5,2025-12-08 09:00:00
SHORT,5.3985,5.323898162862544,6.265652543939172,TP1_33%,9.5,2025-12-18 13:45:00
SHORT,5.3985,5.249296325725087,13.126744490274108,TP2_33%,9.5,2025-12-18 14:30:00
SHORT,5.3985,5.323898162862544,6.455520802846418,TP1_TRAIL,9.5,2025-12-18 14:30:00
