score,rsi_15m,vol_ratio_15m,dist_ema200_h4,sl_dist_pct,tp_dist_pct,rr,body_ratio,vol_24h_usdt,side,outcome,timestamp,symbol
9.0,43.785072922421755,2.802514833038481,0.01989975794028051,0.006038169166527806,0.007245802999833405,1.2000000000000064,0.3830871115639297,5864474841.95151,1,1,2024-02-08 16:45:00,ETH/USDT
8.0,49.06025977803504,0.8881482880620587,0.09845675041006059,0.007928581345238125,0.009514297614285749,1.1999999999999997,0.05647382920108018,8683348960.260809,1,1,2024-02-13 04:30:00,ETH/USDT
8.0,54.22119446909867,0.9761926034696075,0.10089187465045858,0.007363301131638525,0.008835961357966264,1.2000000000000046,0.6652977412731641,8754859171.07297,1,1,2024-02-13 05:45:00,ETH/USDT
8.0,29.86112277928147,2.0983675068985046,0.0880744027559698,0.009548990524982544,0.011458788629979086,1.2000000000000035,0.46356855995409624,10489066932.45187,1,0,2024-02-13 14:00:00,ETH/USDT
10.0,28.496505687489133,3.900865269810697,0.08638527694571853,0.010415949672436114,0.012499139606923337,1.2,0.07316636851520007,11088356832.872688,1,0,2024-02-13 14:15:00,ETH/USDT
8.0,54.46636388351697,0.5019439822982515,0.14869527771386937,0.012368523464431545,0.014842228157317823,1.1999999999999975,0.6043478260869407,12654424292.81202,1,1,2024-02-20 19:00:00,ETH/USDT
8.0,24.413312177198698,2.321963015158148,0.1405635953214016,0.011184100942898938,0.013420921131478787,1.2000000000000055,0.9108910891089111,14029345495.97967,1,1,2024-02-21 07:00:00,ETH/USDT
10.0,31.24008117012539,1.8463149408315453,0.14453807746136277,0.011334023651829388,0.013600828382195328,1.2000000000000055,0.4720554272517419,14182914255.36887,1,1,2024-02-21 07:15:00,ETH/USDT
9.0,33.150833819655496,1.139755490679603,0.1429977531350765,0.011209166626120298,0.013450999951344324,1.199999999999997,0.07309721175582526,14296089776.946209,1,1,2024-02-21 08:00:00,ETH/USDT
8.0,32.45703473762179,3.7282003425283246,0.12240651920792103,0.006481171375967733,0.00777740565116131,1.2000000000000048,0.1954933008526201,11618768932.15045,1,1,2024-02-23 07:45:00,ETH/USDT
8.0,42.0867451464269,2.8396867285535023,0.11316846305310914,0.005848613298219019,0.007018335957862791,1.1999999999999946,0.7372742200328305,7373798964.10283,1,1,2024-02-23 23:15:00,ETH/USDT
9.0,50.92262844719692,4.771742030080608,0.22270285448791205,0.01675597826200594,0.020107173914407125,1.2,0.2262776304155615,17941993443.00732,1,1,2024-02-28 17:30:00,ETH/USDT
8.0,42.26522431709446,0.298847229623145,0.18810045449062462,0.013726389934003644,0.016471667920804317,1.199999999999996,0.6122327790973786,21269332307.73214,1,1,2024-02-28 20:30:00,ETH/USDT
8.0,54.23096237402315,0.3010673109401678,0.21014151656038507,0.020130769061534742,0.024156922873841663,1.1999999999999986,0.8080481036077654,21707122354.48657,1,1,2024-02-28 22:00:00,ETH/USDT
8.0,58.11227069349824,0.5194968916274936,0.2171327055143791,0.018775497504969204,0.022530597005963045,1.2,0.9257722452743142,21731821000.31741,1,1,2024-02-28 23:00:00,ETH/USDT
8.0,27.662615491021338,3.4403342697830457,0.20758602791479644,0.018290693603643878,0.021948832324372707,1.2000000000000028,0.6402280332135367,17890311623.464592,1,1,2024-02-29 17:30:00,ETH/USDT
9.0,45.40110297273624,1.916555753533356,0.19470378322008983,0.014955671027680771,0.017946805233216925,1.2,0.06301652892560909,13528312403.69835,1,1,2024-03-01 08:00:00,ETH/USDT
9.0,44.74114342715635,4.190465916784643,0.19219677213217887,0.00851973708048352,0.010223684496580199,1.199999999999997,0.048761201897730796,9138385596.02427,1,1,2024-03-04 14:00:00,ETH/USDT
8.0,73.14078242316941,5.153735233491128,0.062373305442995436,0.00799429104331721,0.009593149251980702,1.2000000000000064,0.89683257918552,8320356558.16364,0,1,2024-03-27 13:00:00,ETH/USDT
9.0,50.48033084176546,4.938307772683678,0.045607896631245565,0.009211581570342154,0.011053897884410534,1.1999999999999946,0.7476420267602566,8856123016.11124,0,1,2024-03-27 13:30:00,ETH/USDT
8.0,32.36895668757222,2.897245354685021,0.05860328658829387,0.008064143259661424,0.009676971911593732,1.200000000000003,0.1845308205732177,11982209837.376951,1,0,2024-04-09 06:45:00,ETH/USDT
8.0,25.63928677076077,5.170162085893575,0.04528497228314769,0.008860315777889437,0.010632378933467376,1.2000000000000057,0.6742589703588122,12340975170.2836,1,0,2024-04-09 08:00:00,ETH/USDT
9.5,66.46746267794293,1.864183128680902,-0.07468050801074351,0.017680956255093458,0.021217147506112175,1.2000000000000015,0.3522285714285681,12062768124.82097,0,1,2024-04-19 07:00:00,ETH/USDT
8.5,58.202083010278685,2.187250910435732,-0.04076128180504011,0.004680936312116268,0.00561712357453955,1.2000000000000062,0.44243641231590686,5909737136.65832,0,1,2024-04-27 12:15:00,ETH/USDT
9.5,67.24376686294113,1.8490671223054214,-0.03650550180410492,0.004734327550692914,0.005681193060831439,1.1999999999999877,0.3640211640211768,5609112247.86283,0,0,2024-04-27 13:30:00,ETH/USDT
9.5,71.70673305480872,2.042033808124698,-0.03319953591424955,0.004948181854984139,0.005937818225980909,1.1999999999999884,0.1264880952380812,5375036805.59977,0,0,2024-04-27 14:15:00,ETH/USDT
10.0,71.9694744747986,2.5333206534801818,-0.07545735920546891,0.009255796641257339,0.011106955969508777,1.1999999999999968,0.09544405997693083,12753467799.038,0,1,2024-05-01 18:45:00,ETH/USDT
9.5,66.31316865134771,2.111824839035381,-0.07219080865872617,0.0063041892414943115,0.007565027089793174,1.2,0.6674285714285707,9716586363.5053,0,1,2024-05-02 12:15:00,ETH/USDT
8.0,55.220450341186684,1.1641678522406187,-0.07031166206880794,0.006221707411808311,0.007466048894169913,1.1999999999999902,0.004079551249358833,8048358114.5237,0,1,2024-05-02 18:45:00,ETH/USDT
8.5,59.36866665526964,2.194298999013702,-0.06635916240341096,0.005863298772763032,0.007035958527315669,1.2000000000000053,0.3434559452523594,6943185567.77842,0,1,2024-05-02 21:30:00,ETH/USDT
